#,NAME,NAME ARABIC,TYPE EN,TYPE AR,SUBTYPE EN,SUBTYPE AR,BLOCK,POINT_X_Longitude,POINT_Y_Latitude
129,THE BRITISH COUNCIL LIBRARY,مكتبة المركز الثقافي البريطاني,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,LIBRARIES,مكتبات عامة,356,50.5608247899999,26.21452431
130,ABC PRE-SCHOOL,حضانة أي بي سي,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,711,50.5652442499999,26.20200852
131,AHDHAN NURSERY,حضانة أحضان,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,439,50.53362948,26.20801764
132,AL KAWTHAR NURSERY,حضانة الكوثر,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,505,50.4903497399999,26.2147557
133,AL YAQEEN NURSERY,حضانة اليقين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,925,50.57218102,26.13089125
134,ALQALAM NURSERY,حضانة القلم,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,1027,50.48156705,26.1074431099999
135,BRIGHT BEGINNINGS DAY CARE & CHILD DEVELOPMENT CENTER,البدايات المشرقة حضانة ومركز لتنمية الطفل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,327,50.5859935,26.2138474399999
136,DAR AJYAL NURSERY,حضانة دار الأجيال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,208,50.6169938399999,26.25392592
137,DISNEY NURSERY,حضانة ديزني,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,517,50.49350839,26.1972011
138,EVOLUTION CHILDCARE DAY NURSERY & PRESCHOOL,حضانة تطوير رعاية الأطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,334,50.58361739,26.2118448899999
139,FUTURE BRANCHES NURSERY,حضانة غصون المستقبل,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,450,50.5137438699999,26.22138164
140,HAPPY MAMA NURSERY,حضانة الأم السعيدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,111,50.6512644399999,26.2299235099999
141,K.G. KIDS,أطفال كي جي,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,926,50.52128133,26.13960541
142,KIDS ACADEMY,حضانة أكاديمية الأطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,517,50.4863921899999,26.20460696
143,KIDS ISLAND NURSERY,حضانة كدز آيلاند,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,609,50.6230175399999,26.16224624
144,KIDS UNIVERSAL NURSERY,حضانة عالم الأطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,310,50.57723509,26.21881674
145,KINGDOM OF FLOWERS NURSERY,حضانة مملكة الزهور,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,1204,50.4986242299999,26.13574775
146,LIFETIME NURSERY,حضانة لايف تايم,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,1204,50.50933956,26.13376083
147,LITTLE LEARNERS NURSERY,حضانة المتعلمين الصغار,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,914,50.5506924,26.1328096899999
148,LITTLE PEARLS NURSERY,حضانة ليتل بيرلز,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,112,50.6574496699999,26.22976285
149,MADELEINES NURSERY,حضانة مادلين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,NURSERIES,دور الحضانة,332,50.5830515099999,26.2109204799999
150,ABDULRAHMAN JASSIM KANOO SCHOOL,مدرسة عبدالرحمن جاسم كانو,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,331,50.57317391,26.2061780999999
151,ABDULRAHMAN KANOO INTERNATIONAL SCHOOL,مدرسة عبدالرحمن كانو الدولية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,704,50.5381078899999,26.17920612
152,AL AMAL SPECIAL EDUCATION INSTITUTE,معهد الأمل للتعليم الخاص,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.5502570399999,26.15833603
153,AL FALAH PRIVATE SCHOOLS - BOYS,مدارس الفلاح للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,919,50.56534356,26.1307591799999
154,AL FALAH PRIVATE SCHOOLS - GIRLS,مدرسة الفلاح الخاصة للبنات,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,207,50.60738045,26.25198345
155,AL FALAH PRIVATE SCHOOLS - GIRLS,مدرسة الفلاح الخاصة للبنات,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,732,50.52914088,26.15361525
156,AL FALAH PRIVATE SCHOOLS (GIRLS),مدارس الفلاح للبنات,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,919,50.56500445,26.13061846
157,AL HEKMA INTERNATIONAL MODEL SCHOOL,مدرسة الحكمة الدولية النموذجية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,743,50.57569697,26.15088463
158,AL IMAN BOYS SCHOOL ,مدرسة الإيمان للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.55155061,26.1595774799999
159,AL IMAN GIRLS SCHOOL,مدرسة الإيمان للبنات,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.55172262,26.1603999899999
160,AL MAJD PRIVATE SCHOOL,مدرسة المجد الخاصة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,358,50.55838596,26.21145436
161,AL MAJD PRIVATE SCHOOL,مدرسة المجد الخاصة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,363,50.5567378699999,26.21185981
162,AL MANAR PRIVATE SCHOOLS,مدرسة المنار الخاصة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,708,50.52407876,26.18268144
163,AL NOOR INTERNATIONAL SCHOOL,مدرسة النور العالمية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,611,50.6026500999999,26.1671701699999
164,AL NOOR NATIONAL SCHOOL,مدرسة النور الوطنية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,211,50.6104077,26.2505461
165,AL RAWABI SCHOOL,مدرسة الروابي,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,435,50.5281268999999,26.21226313
166,AL SALAM SCHOOL,مدرسة السلام,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,543,50.4585279,26.20590985
167,AL SHAIKHA HESSA GIRLS SCHOOL,مدرسة الشيخة حصة للبنات,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,942,50.5454974499999,26.09998346
168,ALFALAH SCHOOL,مدارس الفلاح,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,207,50.6072877699999,26.2522206099999
169,ALIA SCHOOL,مدرسة عالية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,611,50.60440406,26.1643481599999
170,ALMAHD DAY BOARDING SCHOOL,مدرسة المهد,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,941,50.5688041299999,26.1525001999999
171,ALMAHD DAY BOARDING SCHOOLS,مدرسة المهد,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,233,50.63134652,26.28134726
172,ALMAHD SCHOOL,مدرسة المهد,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,517,50.48727515,26.20005507
173,ALNASEEM INTERNTIONAL SCHOOL,مدرسة النسيم الدولية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,922,50.54182988,26.1524944099999
174,ALRAJA SCHOOL,مدرسة الرجاء,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,306,50.58479726,26.2316657699999
175,AMA INTERNATIONAL SCHOOL,مدرسة اي ام اي الدولية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,704,50.53943419,26.17632267
176,ARABIAN GULF PEARL SCHOOL,مدرسة لؤلؤة الخليج العربي,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,363,50.5534163199999,26.2050289399999
177,ARSENAL SOCCER SCHOOLS,مدارس ارسنال لكرة القدم,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,527,50.48531108,26.17608596
178,ASIAN SCHOOL,المدرسة الاسيوية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,335,50.5956207699999,26.19958035
179,BAHRAIN BAYAN MODEL SCHOOL,مدرسة بيان البحرين النموذجية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.54964643,26.16063484
180,BAHRAIN INDIAN SCHOOL,المدرسة الهندية البحرينية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,473,50.4990660799999,26.2182500199999
181,BAHRAIN SCHOOL,مدرسة البحرين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,342,50.60479214,26.2084168899999
182,BANGLADESH SCHOOL,المدرسة البنغلاديشية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,356,50.56290517,26.21621907
183,BAWABAT AL MAAʻALI PRIVATE SCHOOL,مدرسة بوابة المعالي الخاصة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,730,50.52635944,26.16265161
184,BRITISH SCHOOL,المدرسة البريطانية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,1014,50.4721356599999,26.16121863
185,BRITISH SCHOOL OF BAHRAIN,مدرسة البحرين البريطانية ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,338,50.5916377599999,26.21330009
186,CITY INTERNATIONAL SCHOOL,مدرسة المدينة العالمية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,109,50.64993656,26.24590012
187,CREATIVITY PRIVATE SCHOOL,مدرسة الابداع الخاصة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,309,50.5828315799999,26.21995544
188,CREATIVITY PRIVATE SCHOOL,مدرسة الإبداع الخاصة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,571,50.47306702,26.18392399
189,DELMON SCHOOL,مدرسة دلمون,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,327,50.5876871999999,26.21670773
190,EASTERN SCHOOL,المدرسة الشرقية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,336,50.59130496,26.2112021
191,EBENEZER PRIVATE SCHOOL,مدرسة إبنيزر الخاصة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,506,50.4893711699999,26.2272755599999
192,FRENCH SCHOOL,المدرسة الفرنسية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,225,50.6029175999999,26.26731755
193,HAWAR INTERNATIONAL SCHOOL,مدرسة حوار الدولية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,910,50.55366355,26.1176024799999
194,IBN ALHAYTHAM ISLAMIC SCHOOL,مدرسة إبن الهيثم الأسلامية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,306,50.58316406,26.23195247
195,IBN ALHAYTHAM ISLAMIC SCHOOL,مدرسة إبن الهيثم الأسلامية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,450,50.52049057,26.2249144399999
196,IBN KHULDOON NATIONAL SCHOOL,مدرسة إبن خلدون الوطنية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.55044102,26.15782518
197,INDIAN SCHOOL,المدرسة الهندية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.54135454,26.15788904
198,INDIAN SCHOOL,المدرسة الهندية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,910,50.5514178999999,26.1166398899999
199,JAPANESE SCHOOL,المدرسة اليابانية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,533,50.48011822,26.19637875
200,MIDDLE EAST SCHOOLS,مدرسة الشرق الاوسط,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,356,50.5625470399999,26.21523664
201,MISSION SCHOOL,مدرسة البعثة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,307,50.58279211,26.23140189
202,MODERN EDUCATION SCHOOL,مدرسة التعليم العصري,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,547,50.46142213,26.19866988
203,MODERN KNOWLEDGE SCHOOLS,مدرسة المعارف الحديثة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,342,50.60085179,26.2058638399999
204,NADEEN SCHOOL,مدرسة نادين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,337,50.59130624,26.2047499399999
205,NEW GENERATION INTERNATIONAL SCHOOL,مدرسة نيو جينيريشن انترناشيونال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,341,50.60397341,26.20969487
206,NEW MILLENNIUM SCHOOL,مدرسة الألفية الجديدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,331,50.57462771,26.2073072399999
207,NEW MILLENNIUM SCHOOL,مدرسة الألفية الجديدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,502,50.5034754799999,26.22181041
208,NEW MILLENNIUM SCHOOL - DPS,مدرسة الألفية الجديدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,330,50.57220625,26.21120608
209,NEW VISION SCHOOL,مدرسة الرؤية الحديثة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,505,50.48771544,26.21626144
210,PAKISTAN SCHOOL,المدرسة الباكستانية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.5442853699999,26.15832878
211,PAKISTAN URDU SCHOOL,المدرسة الباكستانية الاردية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.5491250899999,26.15911461
212,PALMS PRIMARY SCHOOL,مدرسة النخيل الابتدائية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,926,50.52648328,26.1379093
213,PHILIPPINE SCHOOL,المدرسة الفلبينية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,732,50.52683726,26.15532568
214,QUALITY EDUCATION SCHOOL,مدرسة كواليتي ايديوكيشن,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,356,50.5631828799999,26.21658666
215,QUALITY EDUCATION SCHOOL,مدرسة جودة التعليم,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,505,50.48829622,26.2144308899999
216,RIFFA VIEWS INTERNATIONAL SCHOOL,مدرسة الرفاع فيوز الدولية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,943,50.5620906799999,26.10153138
217,SACRED HEART SCHOOL,مدرسة القلب المقدس ,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,307,50.58247784,26.23043311
218,SACRED HEART SCHOOL,مدرسة القلب المقدس,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.5391180399999,26.1577231099999
219,ST. CHRISTOPHER'S SCHOOL,مدرسة سانت كريستوفر,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,513,50.50004887,26.20419862
220,ST. CHRISTOPHER'S SCHOOL,مدرسة سانت كريستوفر,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,841,50.54269656,26.1578576699999
221,TALENTS INTERNATIONAL & THE INFANT SCHOOL,مدرسة الاطفال والمواهب الدولية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,356,50.56026585,26.21556765
222,TALENTS INTERNATIONAL & THE INFANT SCHOOL,مدرسة الاطفال والمواهب الدولية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,925,50.5677861799999,26.1298894799999
223,TAYLOS PRIVATE SCHOOL,مدرسة تايلوس الخاصة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,226,50.6093544599999,26.27566839
224,THE INFANT SCHOOL,مدرسة الاطفال,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,356,50.56209494,26.2169518199999
225,THE INTERNATIONAL SCHOOL OF CHOUEIFAT,مدرسة الشويفات الدولية,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,257,50.6657294899999,26.27717136
226,THE NEW HORIZON SCHOOL,مدرسة الاّفاق الحديثة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,328,50.5786057099999,26.2176312299999
227,THE NEW HORIZON SCHOOL,مدرسة الآفاق الحديثة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,328,50.57894633,26.2170119399999
228,THE NEW INDIAN SCHOOL,المدرسة الهندية الجديدة,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PRIVATE SCHOOLS,مدارس خاصة,941,50.5670211699999,26.15474884
229,AʻALI INTERMEDIATE BOYS SCHOOL,مدرسة عالي الاعدادية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,734,50.52181883,26.1549224299999
230,AʻALI PRIMARY BOYS SCHOOL,مدرسة عالي الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,732,50.5323721,26.15055676
231,ABDULRAHMAN AL NASSER PRIMARY & INTERMEDIATE BOYS SCHOOL,مدرسة عبدالرحمن الناصر الابتدائية الاعدادية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,210,50.6170687999999,26.2491381699999
232,ABDULRAHMAN ALDAKHIL INTERMEDIATE BOYS SCHOOL,مدرسة عبدالرحمن الداخل الاعدادية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,321,50.59345795,26.22751937
233,ABU AL AALA AL MAARI PRIMARY BOYS SCHOOL,مدرسة أبو العلاء المعري الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,210,50.61845069,26.2543758899999
234,ABU AUBAYDAH AL JARRAH PRIMARY BOYS SCHOOL,مدرسة أبو عبيدة بن الجراح الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,213,50.6142023199999,26.25102864
235,ABU BAKER AL SIDDIQ PRIMARY BOYS SCHOOL,مدرسة أبو بكر الصديق الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,301,50.57852037,26.2259342599999
236,ABU FERAS ALHAMADANY PRIMARY BOYS SCHOOL,مدرسة أبو فراس الحمداني الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,208,50.61558379,26.2522910799999
237,ABU SAIBEA PRIMARY BOYS SCHOOL,مدرسة أبو صيبع الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,473,50.50312144,26.2167315099999
238,AHMED AL FATEH PRIMARY & INTERMEDIATE BOYS SCHOOL,مدرسة أحمد الفاتح الابتدائية الاعدادية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,907,50.5752443599999,26.1196046899999
239,AHMED AL OMRAN SECONDARY BOYS SCHOOL,مدرسة أحمد العمران الثانوية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,318,50.5907709199999,26.23344664
240,AL ALAA AL HADHRAMI PRIMARY BOYS SCHOOL,مدرسة العلاء الحضرمي الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,328,50.57564472,26.2153987
241,AL BUDAIYA PRIMARY BOYS SCHOOL,مدرسة البديع الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,541,50.45747713,26.2130107499999
242,AL BUSAITEEN PRIMARY BOYS SCHOOL,مدرسة البسيتين الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,221,50.60598727,26.2617498199999
243,AL DAIR PRIMARY BOYS SCHOOL,مدرسة الدير الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,233,50.6273652599999,26.2817170199999
244,AL DHIYAA PRIMARY BOYS SCHOOL,مدرسة الضياء الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,734,50.52205286,26.15430623
245,AL DIRAZ INTERMEDIATE BOYS SCHOOL,مدرسة الدراز الاعدادية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,542,50.46840628,26.22319904
246,AL EMAM ALGHAZALI INTERMEDIATE BOYS SCHOOL,مدرسة الإمام الغزالي الاعدادية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,1218,50.5083103999999,26.10547321
247,AL EMAM ALI PRIMARY & INTERMEDIATE BOYS SCHOOL,مدرسة الإمام علي الابتدائية الاعدادية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,634,50.61320674,26.13259811
248,AL EMAM ALTABARI PRIMARY BOYS SCHOOL,مدرسة الإمام الطبري الابتدائية للبنين,EDUCATIONAL INSTITUTIONS,مؤسسات تعليمية,PUBLIC SCHOOLS - BOYS,مدارس عامة - أولاد,813,50.5600866999999,26.1646598399999
